timestamp,Open,High,Low,Close,Volume
2024-01-01 00:15:00,2296.56,2296.9,2288.8,2290.9,1109
2024-01-01 00:30:00,2290.9,2294.4,2288.51,2293.19,953
2024-01-01 00:45:00,2293.19,2297.16,2292.3,2295.61,592
2024-01-01 01:00:00,2295.61,2297.2,2291.91,2296.4,1424
2024-01-01 01:15:00,2296.4,2300.17,2296.5,2298.95,496
2024-01-01 01:30:00,2298.95,2305.9,2298.99,2303.16,1315
2024-01-01 01:45:00,2303.16,2306.26,2303.16,2303.41,388
2024-01-01 02:00:00,2303.41,2304.4,2297.7,2298.99,558
2024-01-01 02:15:00,2298.99,2299.1,2295.7,2296.8,433
2024-01-01 02:30:00,2296.8,2299.6,2294.55,2294.68,439
2024-01-01 02:45:00,2294.68,2295.29,2291.31,2293.01,364
2024-01-01 03:00:00,2293.01,2294.6,2288.71,2288.91,614
2024-01-01 03:15:00,2288.91,2288.89,2280.8,2282.4,760
2024-01-01 03:30:00,2282.4,2283.8,2272.81,2276.2,814
2024-01-01 03:45:00,2276.2,2277.5,2271.0,2273.7,675
2024-01-01 04:00:00,2273.7,2278.8,2272.0,2274.21,1182
2024-01-01 04:15:00,2274.21,2274.79,2265.29,2271.77,1170
2024-01-01 04:30:00,2271.77,2276.0,2271.5,2274.2,426
2024-01-01 04:45:00,2274.2,2279.49,2272.61,2279.49,590
2024-01-01 05:00:00,2279.49,2283.21,2276.2,2283.0,784
2024-01-01 05:15:00,2283.0,2283.22,2277.11,2278.59,433
2024-01-01 05:30:00,2278.59,2280.19,2276.29,2279.1,293
2024-01-01 05:45:00,2279.1,2279.2,2272.6,2275.8,323
2024-01-01 06:00:00,2275.8,2278.3,2274.2,2274.8,573
2024-01-01 06:15:00,2274.8,2280.32,2274.21,2276.09,742
2024-01-01 06:30:00,2276.09,2282.1,2275.5,2281.01,317
2024-01-01 06:45:00,2281.01,2283.2,2280.7,2282.01,156
2024-01-01 07:00:00,2282.01,2286.36,2281.53,2284.24,408
2024-01-01 07:15:00,2284.24,2285.9,2282.5,2285.8,366
2024-01-01 07:30:00,2285.8,2287.98,2283.69,2283.7,173
2024-01-01 07:45:00,2283.7,2285.29,2282.4,2284.61,132
2024-01-01 08:00:00,2284.61,2287.4,2284.3,2284.96,318
2024-01-01 08:15:00,2284.96,2286.9,2282.24,2283.0,293
2024-01-01 08:30:00,2283.0,2283.7,2280.12,2281.5,284
2024-01-01 08:45:00,2281.5,2287.07,2281.3,2287.07,173
